filename|transcription
Herta0003.wav|This is Herta. I'm busy right now. This is my ranged puppet's automated response mode. Hello, everyone. Hope you have a wonderful day. Goodbye.
Herta0005.wav|Why not come around today and help me with my research? You'll be the subject by the way.
Herta0007.wav|Ugh, I've lost interest in your research potential for today. See you tomorrow!
Herta0009.wav|What do you make of it? It's about 70% similar to how I looked as a child.
Herta0011.wav|Best not to ponder. You'll be scratching your chin all day.
Herta0013.wav|The good thing about this club is that it doesn't ask me for anything. In fact, it doesn't even care if I'm a member.
Herta0015.wav|Why do I get to visit an Eon? I'm HURDA! That's why.
Herta0017.wav|It hear not solving problems or writing up contributions? Then don't blame me if your life is boring.
Herta0019.wav|I'm perfect enough already. What else do I need to prove? Of course, I could write a few more books. But what would I get out of that? Why should I bother?
Herta0021.wav|The Intelligencia Guild is always able to find a way to support their case. Reading enough, scholars ship in one night to fill a library. This is a problem.
Herta0023.wav|The Lord of Silence erased the eyes from the portrait, but drew everyone's attention in the process.
Herta0025.wav|Asda provided financial assistance to a few exceptional children. I assume Arlen was one of them.
Herta0027.wav|If my other collections have people like asked to watch over them, I could take a hands-off approach.
Herta0029.wav|I gave her the most boring things. And then she gifts them back to me and they're suddenly interesting.
Herta0031.wav|Ron May is a genius among geniuses. I won't deny that. I don't always get along with her, but I do admire her. Maybe the admiration is mutual.
Herta0033.wav|Special condition detected. Remote puppet automatic praise mode on. Madam Herda is a peerless gem. Madam Herda is an unrivaled genius. Madam Herda is an inimitable beauty.
Herta0035.wav|Ugh. Defin inspiration? It's only several thousand ideas racing through my mind every minute.
Herta0037.wav|You call that a build update? What?
Herta0039.wav|Finally! Clocking up. Bye!
Herta0041.wav|Happy? Word of advice. Don't expect too much from a puppet.
Herta0043.wav|He'll better be good. My time is precious.
Herta0045.wav|Why the long face? I'm not going to eat you.
Herta0047.wav|Asta! Here's the key! Gotta go now. Bye.
Herta0049.wav|You know the drill. Send me all your new toys and I'll return them later. Hmm?
Herta0051.wav|I don't usually get to see you outside the simulated universe. Who do you want to experiment at this time?
Herta0053.wav|Madam Herda is a peerless gem. Madam Herda is an unrivaled genius. Madam Herda is an inimitable beauty.
Herta0056.wav|Oh, poor you!
Herta0058.wav|And you're supposed to be stronger?
Herta0060.wav|What are you looking at?
Herta0061.wav|You must be honored to meet me.
Herta0063.wav|I don't know how boring.
Herta0065.wav|This is gonna hurt!
Herta0069.wav|Maybe you can keep it down?
Herta0073.wav|I won't break!
Herta0075.wav|I'm breaking!
Herta0077.wav|Do you know who I am?
Herta0079.wav|Ever see a diamond this big? Oh, it's all yours!
Herta0081.wav|Time to twirl!
Herta0082.wav|Time to twirl!
Herta0084.wav|Connection lost.
Herta0086.wav|Green... pooting!
Herta0088.wav|Hello appropriate!
Herta0090.wav|Off-grade configured.
Herta0092.wav|How am I gonna get that time back?
Herta0094.wav|That's it!
Herta0095.wav|Oh! Acceptable quality.
Herta0097.wav|Awesome! Cool! Can we go now?
Herta0099.wav|Oh, he took him so long?
Herta0100.wav|Woohoo! I can do this in my sleep!
Herta0102.wav|Now, how should I dispose of you?
Herta0104.wav|Is there anything interesting here? I doubt it.
Herta_combined@.wav|This is Herta. I'm busy right now. This is my ranged puppet's automated response mode. Hello, everyone. Hope you have a wonderful day. Goodbye. Why not come around today and help me with my research? You'll be the subject, by the way. Ugh. I've lost interest in your research potential for today. See you tomorrow.
